DEPARTAMENTO,MUNICIPIO,NOMBRE,DIRECCIOÓN,TELÉFONO,NOMBRE DE RECTOR,TIPO ESTABLECIMIENTO,SECTOR,ZONA,NÚMERO DE SEDES,PROPIEDAD DE LA PLANTAFISÍCA,CALENDARIO,CORREO ELECTRÓNICO,LATITUD,LONGITUD,localizacionfinal
CASANARE,YOPAL,JARDIN INFANTIL LA CASA DE MICKEY MOUSE YOPAL,Cll 20 No. 29 - 93,3118800741,MIRIAM LEON BONILLA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,mickeymouseyopal04@outlook.com,5.343819,-72.387477,POINT (-72.387477 5.343819)
CASANARE,YOPAL,LICEO LITERARIO DEL CASANARE,Cra 20 No. 39A - 25,3115249006,DUBISS CARDOZO PERDOMO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,undivertidoencuentroconlaliteratura@hotmail.com,5.322987,-72.386683,POINT (-72.386683 5.322987)
CASANARE,YOPAL,COLEGIO CAMPESTRE HISPANO INGLES,Km 5 Vía Sirivana,3115785902,TANIA JUDITH CARDENAS,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,colhispanoingles@gmail.com,5.349971,-72.360726,POINT (-72.360726 5.349971)
CASANARE,YOPAL,GIMNASIO PEDAGOGICO FEDERICO FROEBEL,Cll 4 No. 20 - 28,3138926476,MARIELA FERNANDEZ FERNANDEZ,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,duquealberto@hotmail.com,5.353164,-72.402986,POINT (-72.402986 5.353164)
CASANARE,YOPAL,GIMNASIO LORIS MALAGUZZI,Cll 19 No. 28 - 51,3193502049,AYDA SANDOVAL HERNANDEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,info@gimnasiomalaguzzi.com,5.344268,-72.388716,POINT (-72.388716 5.344268)
CASANARE,YOPAL,LICEO CAMPESTRE ANDINO,Cll 9 No. 23 - 30,3202432745,NUBIA CASTILLO BARON,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,liceocampestreandinoyopal@gmail.com,5.349740,-72.397474,POINT (-72.397474 5.34974)
CASANARE,YOPAL,INSTITUTO POLITECNICO INDUSTRIAL DE TELECOMUNICACIONES,Cll 30 No. 15B - 35,3125457728,JULIO ERNESTO CHIVATA GALINDO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,ipityopal@gmail.com,5.338934,-72.395218,POINT (-72.395218 5.338934)
CASANARE,YOPAL,COLEGIO SAN MATEO APOSTOL,Cra 15 No. 14A - 26,3107814496,ZAYRA LEANDRA ACOSTA LEAL,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,sanmateoapostolsecedu@hotmail.com,5.340119,-72.397053,POINT (-72.397053 5.340119)
CASANARE,YOPAL,ACADEMIA PEDAGOGICA GENIOS Y TALENTOS,Cra 20 No. 35 - 19,3132639731,IRMA PATRICIA GALVIZ GIL,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,geniosytalentos@hotmail.com,5.327042,-72.388937,POINT (-72.388937 5.327042)
CASANARE,YOPAL,GIMNASIO LOS YOPITOS,Cra 26 No. 28 - 36,3112296493,MERCEDES ALVAREZ CARDENAS,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,giyopi@hotmail.com,5.349726,-72.397599,POINT (-72.397599 5.349726)
CASANARE,YOPAL,COLEGIO ALIANZA PEDAGOGICA,Cra 29B No. 29 - 68,3105751891,ANA JAZMIN RODRIGUEZ CALVO,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,SOCIEDAD,A,gestionacademicaalianzap@gmail.com,5.336041,-72.382647,POINT (-72.382647 5.336041)
CASANARE,YOPAL,LICEO PEDAGOGICO AGAZZIANO,Cll 24 No. 10 - 39,3112033281,YASMIN PATRICIA CABRAL CELY,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,liceofemeninoagazziano2014@gmail.com,5.332769,-72.404258,POINT (-72.404258 5.332769)
CASANARE,YOPAL,JARDIN INFANTIL DESCUBRIENDO MIS TALENTOS,Cll 18 No. 15 - 34,3212621691,UVERLADY SALCEDO LOPEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,milenitha201@hotmail.com,5.338938,-72.400003,POINT (-72.400003 5.338938)
CASANARE,YOPAL,LICEO SEMILLEROS DE ÁNGELES,Km 2 vía Matepantano,3125723152,GERMAN YESID RUIZ SÁNCHEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,liceosemillerodeangeles@gmail.com,5.342496,-72.351468,POINT (-72.351468 5.342496)
CASANARE,YOPAL,COLEGIO DE LA PRESENTACIÓN YOPAL,Cll 10 No. 23 - 62,3212715497,MARISOL MENDONZA PARDO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,secretariacolpreyopal@gmail.com,5.347424,-72.396147,POINT (-72.396147 5.347424)
CASANARE,YOPAL,GIMNASIO THOMAS JEFFERSON,Cll 17 No. 27 - 36,3202208064,MONICA YISELA PUENTES RINCON,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,coordinacion@thomasjefferson.edu.co,5.355058,-72.379306,POINT (-72.379306 5.355058)
CASANARE,YOPAL,LICEO FORMACION INTEGRAL PALABRITAS,Cra 20 No. 24 - 24,3114909496,YASMIN CAMPO QUINTERO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,yasca_15@hotmail.es,5.335558,-72.393865,POINT (-72.393865 5.335558)
CASANARE,YOPAL,INST AUTONOMO SHAKESPEARE Y CERVANTES,Cll 11 No. 18 - 08,3102774193,URBANO BOHORQUEZ,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,colegioshakespeareycervantes@hotmail.com,5.345214,-72.401194,POINT (-72.401194 5.345214)
CASANARE,YOPAL,INSTITUTO FILOSOFIA,Cll 29 No. 14A - 81,3202352375,ELISABETH OJEDA RODRIGUEZ,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,pilosophiayopal@hotmail.com,5.329948,-72.397343,POINT (-72.397343 5.329948)
CASANARE,YOPAL,CENTRO DE CUIDADADO Y DESARROLLO INFANTIL - CONSENTIDOS,Cra 19 No. 26 - 26,3115148922,LEIDY JOHANNA PEDRAOS GUTIERREZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,consentidoscasanare@gmail.com,5.333615,-72.393926,POINT (-72.393926 5.333615)
CASANARE,YOPAL,GIMNASIO PEDAGOGICO EL SABIO CALDAS,Cll 13 No. 16 - 08,3112327197,TULIA ISABEL GUTIERREZ SIGUA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,yopal@gimnasioelsabiocaldas.edu.co,5.342472,-72.403104,POINT (-72.403104 5.342472)
CASANARE,YOPAL,GIMNASIO PEDAGOGICO VANCOUVER,Cra 21 No. 36 - 52,3114767309,DIANA MARCELA LONDOÑO MORENO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,gimnasiopedagogicovancouver@gmail.com,5.326539,-72.387726,POINT (-72.387726 5.326539)
CASANARE,YOPAL,LICEO DE LA SABANA,Cra 22 No. 5 - 78,3108745642,ROSA AMELIA IBARRA DE MEDINA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,liceodelasabana@outlook.es,5.352388,-72.400565,POINT (-72.400565 5.352388)
CASANARE,YOPAL,LICEO MIS PRIMEROS CONOCIMIENTOS,Cra 23 No. 11 - 50,3125054560,ANGELICA MARIA GONZALEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,misprimerosconocimientos@gmail.com,5.347413,-72.396550,POINT (-72.39655 5.347413)
CASANARE,YOPAL,LICEO MODERNO CELESTIN FREINET CASANARE,Cll 23 No. 32 - 45,3143699545,CLARA INES GARCIA MANRIQUE,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,liceomodernocf@gmail.com,5.335978,-72.395830,POINT (-72.39583 5.335978)
CASANARE,YOPAL,GIMNASIO MARIO BENEDETTI,Cra 38 No. 14 - 13,3125054560,YENNY MARITZA LOPEZ CUEVAS,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,gimnasiomariobenedetti@gmail.com,5.320570,-72.396078,POINT (-72.396078 5.32057)
CASANARE,YOPAL,INSTITUCION EDUCATIVA ISAAC NEWTON,Cra 16 No. 26 - 33,3142590285,AITZA ELIZABETH PEÑA GARCIA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,institucionisaacnewtonyopal@gmail.com,5.345661,-72.391767,POINT (-72.391767 5.345661)
CASANARE,YOPAL,GIMNASIO INFANTIL MODERNO,Cra 10 No. 25 - 57,3214638177,NATALIA GALINDO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,gimnasioinfantilmodernoyopal@gmail.com,5.331344,-72.403249,POINT (-72.403249 5.331344)
CASANARE,YOPAL,CASTILLO DE LA ALEGRIA,Cll 25 No. 10 - 85,3138606780,ASTRID PAOLA MEJIA TOSCANO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,glotos36@yahoo.com,5.332050,-72.402748,POINT (-72.402748 5.33205)
CASANARE,YOPAL,GIMNASIO INFANTIL CENTRO DE ESTIMULACION TEMPRANA MIS CHIQUITINES,Km 2 Vía Sirivana,3143429274,PAOLA ANDREA CABEZAS LOZADA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,gimnasioinfantilmischiquitines@gmail.com,5.347804,-72.375351,POINT (-72.375351 5.347804)
CASANARE,YOPAL,LICEO INTEGRAL DEL SABER,Cra 20 No. 31 - 54,3114805055,ADRIANA MARCELA TOTENA BETANCOURT,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,danickoll@hotmail.com,5.329980,-72.390715,POINT (-72.390715 5.32998)
CASANARE,YOPAL,INSTITUCION EDUCATIVA PARA JOVENES Y ADULTOS  DE LA SABANA CASANARE,Cll 10 No. 20 - 67,3118446559,JOSE WALTER PARRADO CORREDOR,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,direcciongeneral@fundetec.edu.co,5.352388,-72.400479,POINT (-72.400479 5.352388)
CASANARE,YOPAL,COLEGIO SUPERIOR SAN BARTOLOME LTDA,Cll 9 No. 23 - 32,3123177338,VERONICA PATRICIA MONTES HUERTAS,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,colegiosanbartolomeyopal@gmail.com,5.333370,-72.387855,POINT (-72.387855 5.33337)
CASANARE,YOPAL,JARDIN INFANTIL GRANDES PERSONITAS,Cra 19 No. 27 - 30,3102849385,NEFI MARTIN LOPEZ ROJAS,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,carolainxamara@hotmail.com,5.332445,-72.393405,POINT (-72.393405 5.332445)
CASANARE,YOPAL,LICEO EDUCATIVO CORCELITOS DEL SABER,Cll 30A No. 29A - 07,3114562625,ROSA MIREYA CIFUENTES,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,mireya.corcelitos@hotmail.com,5.335150,-72.382285,POINT (-72.382285 5.33515)
CASANARE,YOPAL,LICEO PEDAGÓGICO COLOMBO INGLÉS,Cll 14 No. 31 - 18,3103249140,SANDRA LEONOR IBARRA ANGARITA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,liceocolomboingles0358@gmail.com,5.324034,-72.394068,POINT (-72.394068 5.324034)
CASANARE,YOPAL,JARDIN INFANTIL CARRUSEL MAGICO,Cra 21 No. 19 - 22,3208084591,GERLIN MANUEL NARVAEZ TRUJILLO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,carruselmagico0762@hotmail.com,5.340240,-72.395148,POINT (-72.395148 5.34024)
CASANARE,YOPAL,COLEGIO RAFAEL POMBO,Cll 28 No. 19 - 50,6349563,MAYRA ALEJANDRA MONTES REYES,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,colrafaelpomboyopal@hotmail.com,5.332510,-72.392741,POINT (-72.392741 5.33251)
CASANARE,YOPAL,LICEO PEDAGOGICO SAN MARTIN,Cll 22 No. 14 - 24,3202346071,NIDIA SAID ROCHA RUBIO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,liceopedagogicosanmartin@hotmail.com,5.334916,-72.399390,POINT (-72.39939 5.334916)
CASANARE,YOPAL,LICEO ESCOLAR LOS ÁNGELES,Tra 18 No. 12 - 28,3123820890,NELLY BEATRIZ VARGAS CASTILLO,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,liceoescolar_losangeles@hotmail.com,5.342937,-72.402184,POINT (-72.402184 5.342937)
CASANARE,YOPAL,JARDIN INFANTIL MI REINO MAGICO,Cra 13B No. 28 - 40,3108659952,CLAUDIA ANDREA ALFONSO GARZÓN,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,jardinmireinomagico@hotmail.com,5.329335,-72.399392,POINT (-72.399392 5.329335)
CASANARE,YOPAL,LICEO INFANTIL SIGLO XXI,Cll 35 No. 17 - 09,3123149555,ANGELA MERCEDES FUENTES GUTIERREZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,liceoinfantilsigloxxl@hotmail.com,5.339936,-72.409871,POINT (-72.409871 5.339936)
CASANARE,YOPAL,COLEGIO ANTONIO NARIÑO,Cll 17 No. 27 - 35,6341988,OFELIA VALDERRAMA GONZALEZ,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,colegioantonion@gmail.com,5.351388,-72.389647,POINT (-72.389647 5.351388)
CASANARE,YOPAL,GIMNASIO COMFACASANARE,Cll 6 No. 19 - 45,3104836401,MARTHA ALIXON ROMERO BARRERA,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,CAJA DE COMPENSACIÓN,A,rectoriacomfacasanare@gmail.com,5.350561,-72.402823,POINT (-72.402823 5.350561)
CASANARE,YOPAL,COLEGIO BETHEL,Cll 26 No. 24 - 37,3112329658,VICTOR MANUEL BELTRAN VASQUEZ,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,colegiobetheldeyopal@hotmail.com,5.336563,-72.388951,POINT (-72.388951 5.336563)
CASANARE,YOPAL,LICEO CARACOLITO,Cll 6 No. 21 - 81,3134965484,BRIYITH JOHANNA ZUÑIGA PINILLA,CENTRO EDUCATIVO,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,caroso28@hotmail.com,5.351568,-72.400504,POINT (-72.400504 5.351568)
CASANARE,YOPAL,GIMNASIO PEDAGOGICO CHIQUILINES,Cra 22 No. 14 - 54,3208542294,FRANCY YOLIMA SOLANO HOLGUIN,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,chiquilines2014@outlook.com,5.344511,-72.396166,POINT (-72.396166 5.344511)
CASANARE,YOPAL,ACADEMIA MILITAR JOSE ANTONIO PAEZ,Km 7 Vía Yopal – Aguazul,3202720849,FRANCIA HELENA VILLADIEGO VELEZ,INSTITUCION EDUCATIVA,NO OFICIAL,URBANA,1,PERSONA NATURAL,A,amjap3@hotmail.com,5.289020,-72.459403,POINT (-72.459403 5.28902)
CASANARE,YOPAL,GIMNASIO DE LOS LLANOS,Km 9 Vía morichal,3102845528,JUAN CARLOS BAYONA VARGAS,INSTITUCION EDUCATIVA,NO OFICIAL,RURAL,1,FUNDACION O CORPORACIONES,A,colgimnasiodelosllanos@gmail.com,5.264504,-72.399152,POINT (-72.399152 5.264504)
CASANARE,YOPAL,COLEGIO CAMPESTRE SIRIVANA,Km 6 Vía Sirivana,3214693349,JOSE PASCUAL MONGUI ORDUZ,CENTRO EDUCATIVO,NO OFICIAL,RURAL,1,PERSONA NATURAL,A,informacion@sirivanacountryschool.com,5.354657,-72.352366,POINT (-72.352366 5.354657)
